"driver_id,driver_name,years_of_experience,rating,account_status,debt_paid,email"
"1,Driver_1,3,3.031362552239597,blocked,True,driver1@ridehail.com"
"2,Driver_2,6,1.4076466703198687,active,False,driver2@ridehail.com"
"3,Driver_3,2,3.6931417488478977,blocked,False,driver3@ridehail.com"
"4,Driver_4,4,4.11288291097083,active,False,driver4@ridehail.com"
"5,Driver_5,5,4.7999940742313,active,False,driver5@ridehail.com"
"6,Driver_6,3,2.4128149015078484,active,False,driver6@ridehail.com"
"7,Driver_7,2,3.1212496704525856,blocked,False,driver7@ridehail.com"
"8,Driver_8,2,1.0375936164768125,active,False,driver8@ridehail.com"
"9,Driver_9,1,3.7593817693632405,blocked,True,driver9@ridehail.com"
"10,Driver_10,6,4.05331993334244,blocked,False,driver10@ridehail.com"
"11,Driver_11,4,4.020049190814369,blocked,False,driver11@ridehail.com"
"12,Driver_12,5,1.1340937181921973,suspended,False,driver12@ridehail.com"
"13,Driver_13,3,3.1832786148274472,blocked,False,driver13@ridehail.com"
"14,Driver_14,5,2.681067685110905,blocked,False,driver14@ridehail.com"
"15,Driver_15,7,2.4088790079394737,active,False,driver15@ridehail.com"
"16,Driver_16,8,4.226087593445797,blocked,True,driver16@ridehail.com"
"17,Driver_17,2,3.1050121877782138,blocked,False,driver17@ridehail.com"
"18,Driver_18,7,4.778725707787963,active,False,driver18@ridehail.com"
"19,Driver_19,7,4.446662744194461,suspended,True,driver19@ridehail.com"
"20,Driver_20,5,3.8564535829086433,blocked,True,driver20@ridehail.com"
"21,Driver_21,2,3.5920443496522947,suspended,False,driver21@ridehail.com"
"22,Driver_22,4,3.3461451359322067,suspended,False,driver22@ridehail.com"
"23,Driver_23,9,1.6587272055745785,blocked,False,driver23@ridehail.com"
"24,Driver_24,7,2.161269825601875,blocked,False,driver24@ridehail.com"
"25,Driver_25,7,3.5634969331050277,blocked,False,driver25@ridehail.com"
"26,Driver_26,9,4.261017042805207,active,True,driver26@ridehail.com"
"27,Driver_27,7,4.676599278501512,blocked,False,driver27@ridehail.com"
"28,Driver_28,10,1.2250491432259865,suspended,False,driver28@ridehail.com"
"29,Driver_29,2,3.240904929424544,active,False,driver29@ridehail.com"
"30,Driver_30,3,2.706211661413658,blocked,False,driver30@ridehail.com"
"31,Driver_31,1,2.4247157912286936,suspended,False,driver31@ridehail.com"
"32,Driver_32,10,4.444305160437423,active,True,driver32@ridehail.com"
"33,Driver_33,6,4.107047310007804,blocked,False,driver33@ridehail.com"
"34,Driver_34,3,3.2781336154113077,active,False,driver34@ridehail.com"
"35,Driver_35,2,1.3699305854669745,suspended,False,driver35@ridehail.com"
"36,Driver_36,8,4.4937734019070525,blocked,False,driver36@ridehail.com"
"37,Driver_37,2,4.768111078449414,active,True,driver37@ridehail.com"
"38,Driver_38,1,4.5986789985727885,suspended,False,driver38@ridehail.com"
"39,Driver_39,10,2.858825993592781,active,True,driver39@ridehail.com"
"40,Driver_40,5,4.702496873228977,blocked,True,driver40@ridehail.com"
"41,Driver_41,7,3.7762278292543137,active,True,driver41@ridehail.com"
"42,Driver_42,2,4.51702180067917,blocked,False,driver42@ridehail.com"
"43,Driver_43,3,3.6976478286636882,active,True,driver43@ridehail.com"
"44,Driver_44,2,4.4150614754474855,suspended,False,driver44@ridehail.com"
"45,Driver_45,9,3.8438977934007057,suspended,True,driver45@ridehail.com"
"46,Driver_46,6,4.127718605549159,blocked,False,driver46@ridehail.com"
"47,Driver_47,3,3.319626151789183,blocked,True,driver47@ridehail.com"
"48,Driver_48,3,1.8274561205868323,suspended,True,driver48@ridehail.com"
"49,Driver_49,9,1.3279149351244324,active,True,driver49@ridehail.com"
"50,Driver_50,10,4.1396885055826775,blocked,False,driver50@ridehail.com"
"51,Driver_51,4,2.109319682845556,active,False,driver51@ridehail.com"
"52,Driver_52,9,1.7401409544021154,blocked,False,driver52@ridehail.com"
"53,Driver_53,8,3.039390510540138,active,True,driver53@ridehail.com"
"54,Driver_54,4,1.1707804471436551,active,False,driver54@ridehail.com"
"55,Driver_55,8,1.8054185836110674,blocked,False,driver55@ridehail.com"
"56,Driver_56,7,1.3223096209111809,blocked,True,driver56@ridehail.com"
"57,Driver_57,6,3.1178895313724513,active,True,driver57@ridehail.com"
"58,Driver_58,10,1.0513727607320087,blocked,True,driver58@ridehail.com"
"59,Driver_59,4,4.7996155668498925,active,False,driver59@ridehail.com"
"60,Driver_60,5,2.313610161443379,active,False,driver60@ridehail.com"
"61,Driver_61,1,2.028079336752281,suspended,True,driver61@ridehail.com"
"62,Driver_62,10,4.653372727431212,suspended,False,driver62@ridehail.com"
"63,Driver_63,3,4.867569685877976,suspended,True,driver63@ridehail.com"
"64,Driver_64,10,4.871776145295753,active,False,driver64@ridehail.com"
"65,Driver_65,2,4.053364037832107,suspended,True,driver65@ridehail.com"
"66,Driver_66,3,3.237542864308919,blocked,True,driver66@ridehail.com"
"67,Driver_67,8,3.4620817894627405,active,True,driver67@ridehail.com"
"68,Driver_68,4,2.9672970930898543,suspended,False,driver68@ridehail.com"
"69,Driver_69,9,1.9348192768718495,suspended,True,driver69@ridehail.com"
"70,Driver_70,2,1.8396741250734463,active,True,driver70@ridehail.com"
"71,Driver_71,2,1.7835366539443092,suspended,True,driver71@ridehail.com"
"72,Driver_72,8,2.2207624281363647,blocked,True,driver72@ridehail.com"
"73,Driver_73,9,1.111592226010384,blocked,True,driver73@ridehail.com"
"74,Driver_74,4,4.948065024614788,blocked,False,driver74@ridehail.com"
"75,Driver_75,2,4.7003056660932225,suspended,True,driver75@ridehail.com"
"76,Driver_76,7,2.5072752207878786,suspended,True,driver76@ridehail.com"
"77,Driver_77,10,1.7660489362027438,suspended,True,driver77@ridehail.com"
"78,Driver_78,2,3.2244158859383742,suspended,True,driver78@ridehail.com"
